ID;Scenario;Session;Choice;Tactic;Score;Score_Total;Choice_Text;Manager_Type
1;Privacy;1;1;Being the user;1;1;Even if no one complains, it's our responsibility to protect user privacy by default. They trust us with their data.;Diluter
1;Privacy;1;2;Making Values Visible and Legible Through Organizational Metrics;1;2;"This isn't an 'enhancement' we can de-prioritize; it's a fundamental privacy risk. That should be as important as a performance bug.";Diluter
1;Privacy;1;3;Making Values Visible and Legible Through Organizational Metrics;1;3;I'm not comfortable using our 'good' score as an excuse to ignore a known privacy vulnerability.;Diluter
1;Privacy;1;4;Using Organizational Values to Create Spaces for New Forms of Values Work;1;4;Our company values say we respect user privacy. That's a core principle that can't be measured by ROI.;Diluter
1;Privacy;1;5;Using Organizational Values to Create Spaces for New Forms of Values Work;1;5;This aligns with our company's privacy policy. We can frame this as living our values.;Diluter
1;Privacy;1;6;Negotiation and Cooperation;1;6;We can stop storing precise GPS data and just store the city name. It's a small change on the backend that has a huge privacy impact.;Diluter
1;Privacy;1;7;Negotiation and Cooperation;1;7;That's a good start. I'll also add a ticket to review our other data collection practices next quarter.;Diluter
1;Privacy;1;8;Strawman;0;7;Progress is progress, I guess.;Diluter
1;Accessibility;2;1;Being the user;1;1;Even if it's 1%, those are still our users who will be completely unable to use a core feature.;Diluter
1;Accessibility;2;2;Making Values Visible and Legible Through Organizational Metrics;1;2;"This isn't an 'enhancement' we can de-prioritize; it's a blocking issue. Basic functionality should come before performance tweaks.";Diluter
1;Accessibility;2;3;Making Values Visible and Legible Through Organizational Metrics;1;3;That 85% score doesn't capture this issue, where a user is 100% blocked. We need to look beyond the automated score.;Diluter
1;Accessibility;2;4;Making Values Visible Rhetorically to Other Organizational Stakeholders;1;4;The ROI isn't just about usage numbers. It's about legal risk and brand reputation. A single lawsuit or bad press would cost far more than one week of dev time.;Diluter
1;Accessibility;2;5;Making Values Visible and Legible Through Organizational Metrics;1;5;I can create a risk assessment showing the legal and brand risks of shipping without accessibility fixes.;Diluter
1;Accessibility;2;6;Negotiation and Cooperation;1;6;We could add basic ARIA labels. It's not a full fix, but it's a measurable improvement we can do in a few hours.;Diluter
1;Accessibility;2;7;Embodied knowledge of users;1;7;As someone who uses a screen reader for testing, this will fix the most frustrating part of the flow. It's a solid improvement.;Diluter
1;Accessibility;2;8;Negotiation and Cooperation;1;8;This is a good first step. I'll add a follow-up story for the remaining work to our backlog to ensure we don't forget it.;Diluter
2;Privacy;1;1;Being the user;1;1;The core issue is that we're collecting precise GPS coordinates when a city is all we need. It's a clear case of collecting more data than necessary.;Puppeteer
2;Privacy;1;2;Using Organizational Values to Create Spaces for New Forms of Values Work;1;2;The constraints are difficult, but we still have a responsibility to not collect unnecessary data, regardless of analytics needs.;Puppeteer
2;Privacy;1;3;Using Organizational Values to Create Spaces for New Forms of Values Work;1;3;I'm not worried about red flags when it comes to protecting our users. We should stand by our principles.;Puppeteer
2;Privacy;1;4;Making Values Visible and Legible Through Organizational Metrics;1;4;I'm not comfortable hiding a necessary fix behind PR spin. We should be honest about what this is: a privacy vulnerability.;Puppeteer
2;Privacy;1;5;Fidelity as a rhetorical strategy;1;5;I can create a simple demo showing how the privacy fix works. It will help you feel confident when presenting to leadership.;Puppeteer
2;Privacy;1;6;Negotiation and Cooperation;1;6;Let's just change the data type we store from precise GPS to city-level. It's a small backend change.;Puppeteer
2;Privacy;1;7;Being the user;1;7;For a user, this single fix makes a huge difference in their privacy. It's a solid improvement.;Puppeteer
2;Privacy;1;8;Embodied knowledge of users;1;8;As a user, this partial fix is a noticeable privacy improvement. It's a good foundation.;Puppeteer
2;Accessibility;2;1;Being the user;1;1;If I were a screen reader user, I'd be completely locked out of updating my profile. The feature is unusable for them.;Puppeteer
2;Accessibility;2;2;Using Organizational Values to Create Spaces for New Forms of Values Work;1;2;The constraints are difficult, but we still have a responsibility to not ship a broken feature to disabled users.;Puppeteer
2;Accessibility;2;3;Using Organizational Values to Create Spaces for New Forms of Values Work;1;3;I'm not worried about red flags when it comes to doing the right thing for our users. We should stand by our work.;Puppeteer
2;Accessibility;2;4;Making Values Visible and Legible Through Organizational Metrics;1;4;I'm not comfortable hiding a necessary fix behind PR spin. We should be honest about what this is: a critical bug fix.;Puppeteer
2;Accessibility;2;5;Fidelity as a rhetorical strategy;1;5;I can create a simple demo showing how the fix works. It will help you feel confident when presenting to leadership.;Puppeteer
2;Accessibility;2;6;Negotiation and Cooperation;1;6;Let's fix the keyboard navigation trapping. It's a small code change but a huge barrier for users.;Puppeteer
2;Accessibility;2;7;Negotiation and Cooperation;1;7;That's a great start. I'll also add a ticket to address the remaining issues next quarter.;Puppeteer
2;Accessibility;2;8;Embodied knowledge of users;1;8;As a user, this partial fix is a noticeable improvement. It's a good foundation.;Puppeteer
