Start time;Completion time;Email;Participant_ID;Manager_Type;I feel more confident advocating for ethical decisions.;I was better able to structure my ethical arguments.;I am more likely to raise ethical concerns in future team discussions.;I learned new ways to frame or argue for ethical concerns.;EVA’s counterarguments helped me think more critically about my position.;EVA’s suggestions felt tailored to the intensity and complexity of the scenario.;I would use EVA during real project discussions.;I trust EVA to provide ethically responsible suggestions.;Using EVA made me more aware of ethical concerns I hadn’t considered.;EVA encouraged me to think about stakeholders I had previously overlooked.;How likely are you to recommend EVA to a friend or colleague?;Have you ever used a chatbot to discuss ethical concerns in software development?;Which chatbots have you used for this purpose?;Compared to general-purpose chatbots, EVA was more helpful for ethical decision-making.;        I trust EVA more than general-purpose chatbots for   ethical decision-making.      ;EVA helped me think more critically about ethical concerns than general-purpose chatbots.;        EVA was more sensitive to the complexity and   intensity of ethical scenarios than general-purpose chatbots.      ;Compared to general-purpose chatbots, EVA raised ethical concerns I might not have considered.;        Compared to general-purpose chatbots, EVA helped me   better understand how my choices affect different stakeholders.      ;        I would prefer to use EVA over a general-purpose   chatbot in real projects involving ethical concerns.      ;In what ways did EVA feel better or worse than general-purpose chatbots?;What did you find most helpful about EVA? ;What would you change about EVA?;Did EVA’s simulated manager responses feel realistic based on your past experiences with team dynamics or management? Please explain.;Have you used any of the argumentation tactics from EVA in a real conversation? If so, could you describe a situation where it worked or didn’t work?;Start time2;Completion time3;Email4;Name5;Please fill in your participant number.6;What is your age range?;What gender do you most identify with?;What is your country of residence?;Which of the following describes your race or ethnic background?;What is your primary role in your organization?;How many years of experience do you have?;Have you encountered ethical concerns in a software development context?;Have you ever raised or spoken up about an ethical concern during software development?;I feel confident speaking up about ethical concerns during development.;I feel empowered to challenge ethically questionable decisions in my organization.;I advocate for ethical design decisions during team discussions.;Ethical concerns influence my design decisions.;My team discusses ethical concerns during development.
7-8-25 16:24:44;7-8-25 16:35:55;anonymous;1;Diluter;Agree;Strongly agree;Strongly agree;Strongly agree;Agree;Disagree;Agree;Agree;Agree;Neither agree nor disagree;7;No;;;;;;;;;;"I liked that it goes through a simulated conversation with a manager. I work in corporate and a lot of the language is very similar so it is very realistic. I liked that EVA provided explanations on different types of behaviours/a tactics guide on navigating these types of conversations, with those categorisations also being present within the answers we chose for the second scenario. Having a name to the type of tactic/linked to the dialogue helped me decipher what my own kind of response would be in the situation. 

Drafting an email was also helpful as it allows for good articulation for the situation at hand, in a way I am unable to in the tone that I would like to portray. ";While the topics were different, the conversation from the manager's side was similar in both scenarios so I felt that there was not really much difference between them. Perhaps a scenario/more scenarios where the dialogue isn't exactly the same to show a breadth of ethical discussions that could be held would be good. ;Yes. Managerial types really speak with abbreviations/business jargon so it felt realistic to me. ;I use the compliance (I think that was the name) tactic regularly (the one where you mention adhering to the regulation). This works most of the time because usually an organisation has some sort of 'company values' or 'strategic pillars' that we must generally follow/adhere to. When we are preparing for a new technical release or update to functionality of our software, especially when regarding accessibility there are lots of small technical compliances to remember. Currently there's an EU legislation where all of our software needs to be 'accessibility friendly' with strict rules and is to be launched this month. So regularly mentioning compliance is a good way to 'bring them (managers) down the earth' when they have some unrealistic requirements. ;45876,6726;45876,67352;anonymous;;1;25 to 34;Non-binary;Netherlands;"Asian or Asian origin;";Business Analyst;2 to 5 years;No;;Agree;Agree;Often;Always;Sometimes
7-8-25 16:26:56;7-8-25 16:34:15;anonymous;2;Puppeteer;Disagree;Disagree;Disagree;Disagree;Disagree;Neither agree nor disagree;Disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;2;No;;;;;;;;;;The oversight of information about the topic;The practice scenarios were practically identical in terms of the questions and answers, only a detail in what was being programmed was changed, but that did not influence the virtual conversation. It would be nice to have scenarios that have bigger differences between them to see if you can practice situations in which you might struggle more than in others.;The responses felt very 'American' to me, using a lot of words to actually say very little. This is not at all similar to the more direct Dutch style that I am used to. As a result the whole conversation felt very artificial and not at all like something I would have in real life.;The argumentation tactics from EVA are very similar to how I naturally approach conversations, so I would say that in almost all of my (professional) conversations I use the tactics. So far I have not yet found a scenario where my argumentation did not work, so in that sense you could conclude that the EVA tactics work fine :');45876,67272;45876,67348;anonymous;;2;18 to 24;Man;Netherlands;"White or European origin;";Software Developer;2 to 5 years;No;;Neither agree nor disagree;Agree;Sometimes;Often;Never
7-8-25 16:34:14;7-8-25 16:37:49;anonymous;3;Camouflager;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;Disagree;Agree;6;No;;;;;;;;;;The different kind of reactionair you can give;More options for different kind of companies;Some of them;I think i have, but not sure when. ;45876,67367;45876,6773;anonymous;;3;35 to 44;Woman;Netherlands;"White or European origin;";developer in existing software;2 to 5 years;No;;Strongly agree;Agree;Sometimes;Sometimes;Sometimes
7-8-25 16:25:08;7-8-25 16:27:48;anonymous;4;Camouflager;Agree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Disagree;6;No;;;;;;;;;;I thought the interface was clean and easy to use;I felt that EVAs responses were very similar in both scenarios. Having some more diversity would be good. ;I can't comment on the realism since I haven't had bad experiences with team dynamics and management yet. ;No;45876,67249;45876,67332;anonymous;;4;25 to 34;Man;United States of America;"Asian or Asian origin;";Research Intern;2 to 5 years;No;;Agree;Disagree;Often;Sometimes;Rarely
7-9-25 17:41:13;7-9-25 17:50:37;anonymous;5;Diluter;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Agree;Agree;Agree;Strongly agree;Strongly agree;9;No;;;;;;;;;;It was really useful to have in the second scenario tags for the types of answers I could choose.;I feel I cant read the a long feedback in a daily basis, so it would be good to have the short one and maybe the long one I could get through email or have it in my account to check later along a progressing report. ;Yes, I actually remembered about a situation where my manager didnt care to the security of sensible users' data. It was like 40min meeting, both back and front end teams explaining to him why we should not do what he wanted to implement only 4/5 months after.;Yes, I mentioned the situation above. ;45907,71457;45907,71779;anonymous;;5;25 to 34;Woman;Brazil;"Black, African, or African diaspora;Hispanic or Latino/a/x;White or European origin;";Software Developer;6 to 10 years;Yes;Yes;Neither agree nor disagree;Agree;Sometimes;Sometimes;Rarely
7-14-25 17:30:05;7-14-25 17:39:03;anonymous;6;Puppeteer;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Disagree;Disagree;7;Yes;"ChatGPT;Claude;";Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Disagree;Neither agree nor disagree;Agree;EVA has not yet tries to manipulate the user's answer by agree or disagree with the user's responses. Basically it makes me feel more like completing interactive learning module on ethical topic rather than practicing ethical concerns with EVA. (Except the email part);Drafting email;Could have been more nuanced, in really human context is much more multilayered communication ;Not really, the characteristics of manager differs, depending on the situation. For example, when it comes to compliance, there's no beating around the bush but we just follow the company's policies. However, both topics (Privacy and accessibility), are likely to be discussed with product owner or business analyst. The manager will get involved in more about performance issue or cost/budget.;not sure;7/14/25 17:10:08;7/14/25 17:11:35;anonymous;;6;25 to 34;Woman;Netherlands;"Asian or Asian origin;";Software Developer;Under 2 years;No;;Agree;Agree;Often;Often;Sometimes
7-14-25 17:35:41;7-14-25 17:40:13;anonymous;7;Camouflager;Agree;Agree;Neither agree nor disagree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;8;No;;;;;;;;;;The different possible answers the were given.;I would have to practice more to answer this question.;Yes, managers often try to take the easy road instead of thte best road.;Yes I have and my arguments were accepted.;7/14/25 17:10:20;7/14/25 17:12:55;anonymous;;7;55 to 64;Man;Netherlands;"White or European origin;";Software Developer;11 to 20 years;Yes;Yes;Strongly agree;Strongly agree;Always;Rarely;Sometimes
7-14-25 18:20:07;7-14-25 18:25:51;anonymous;8;Camouflager;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Agree;Agree;Agree;Strongly agree;Neither agree nor disagree;10;Yes;"ChatGPT;";Strongly agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;Agree;I mean the chatgpt and the other bots are kind of the same when its about creating a screnario. But EVA is more experienced;The practice module;Its great.;Yes.;No.;7/14/25 18:05:28;7/14/25 18:06:32;anonymous;;8;25 to 34;Man;Netherlands;"White or European origin;";Software Developer;2 to 5 years;Yes;No;Strongly disagree;Strongly disagree;Often;Often;Rarely
7-14-25 18:19:10;7-14-25 18:23:54;anonymous;9;Diluter;Agree;Agree;Agree;Strongly agree;Agree;Agree;Neither agree nor disagree;Agree;Agree;Neither agree nor disagree;10;No;;;;;;;;;;Giving multiple answers for different approaches;Maybe an improvement, analyze the manager's potential next question for each answer.;Yes, it was all logical and looks like real-life scenerios;No, not yet.;7/14/25 18:05:56;7/14/25 18:07:50;anonymous;;9;25 to 34;Man;Turkey;"White or European origin;";RPA developer;2 to 5 years;No;;Strongly agree;Strongly agree;Sometimes;Sometimes;Sometimes
7-15-25 15:42:49;7-15-25 15:54:08;anonymous;10;Puppeteer;Agree;Agree;Agree;Agree;Disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;7;Yes;"ChatGPT;DeepSeek;";Neither agree nor disagree;Neither agree nor disagree;Disagree;Disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Because of the scripted nature of this testing, it felt less capable than a general-purpose chatbot. While there were efforts to properly emulate the manager, I feel a section where there user can add traits to further develop the manager persona would elevate the experience. The experience as of right now is focused but lacks some depth.;The summaries of the interactions after were comprehensive and allowed me to evaluate my conversing strategies.;Remove the response type indicators. In the second evaluation, there were colour coded options that I felt guided me more than the actual responses.;They felt a bit simulated but still close enough to real interactions. I can understand you cannot necessarily replicate a manager's personality after 10 questions so I am okay with the current level or realism.;I find settling in the midground and creating an image that is appealing for both sides works in most scenarios. Even if the goal is neither of the presented images.;7/15/25 15:13:14;7/15/25 15:16:28;anonymous;;10;25 to 34;Man;Netherlands;"Prefer not to say;";Information Security Analyst;Under 2 years;No;;Agree;Agree;Sometimes;Sometimes;Sometimes
